Date,Day,High Temp (°F),Low Temp (°F),Precipitation,Brooklyn Bridge,Manhattan Bridge,Williamsburg Bridge,Queensboro Bridge,Total
1-Apr,Friday,78.1,66,0.01,"1,704","3,126","4,115","2,552","11,497"
2-Apr,Saturday,55,48.9,0.15,827,"1,646","2,565","1,884","6,922"
3-Apr,Sunday,39.9,34,0.09,526,"1,232","1,695","1,306","4,759"
4-Apr,Monday,44.1,33.1,0.47 (S),521,"1,067","1,440","1,307","4,335"
5-Apr,Tuesday,42.1,26.1,0,"1,416","2,617","3,081","2,357","9,471"
6-Apr,Wednesday,45,30,0,"1,885","3,329","3,856","2,849","11,919"
7-Apr,Thursday,57,53.1,0.09,"1,276","2,581","3,282","2,457","9,596"
8-Apr,Friday,46.9,44.1,0.01,"1,982","3,455","4,113","3,194","12,744"
9-Apr,Saturday,43,37.9,0.09,504,997,"1,507","1,502","4,510"
10-Apr,Sunday,48.9,30.9,0,"1,447","2,387","3,132","2,160","9,126"
11-Apr,Monday,62.1,46,0.01,"2,005","3,791","4,334","3,182","13,312"
12-Apr,Tuesday,57,45,0.2,"1,045","2,178","2,762","2,082","8,067"
13-Apr,Wednesday,57,39.9,0,"2,840","5,395","5,995","4,192","18,422"
14-Apr,Thursday,62.1,44.6,0,"2,861","5,309","6,030","4,115","18,315"
15-Apr,Friday,64,44.1,0,"2,770","5,072","5,816","3,912","17,570"
16-Apr,Saturday,66,45,0,"2,384","4,316","5,624","4,051","16,375"
17-Apr,Sunday,73.9,46,0,"3,147","4,969","5,867","4,197","18,180"
18-Apr,Monday,81,52,0,"3,871","6,823","7,432","4,964","23,090"
19-Apr,Tuesday,71.1,63,0,"3,501","6,951","7,834","5,032","23,318"
20-Apr,Wednesday,68,50,0,"3,450","6,574","7,639","4,928","22,591"
21-Apr,Thursday,71.1,50,0,"3,436","6,452","7,426","4,813","22,127"
22-Apr,Friday,78.1,63,T,"2,975","4,907","6,093","3,862","17,837"
23-Apr,Saturday,70,61,0.16,"2,055","3,276","4,856","3,239","13,426"
24-Apr,Sunday,68,48,0,"2,798","4,650","5,335","3,957","16,740"
25-Apr,Monday,66.9,54,0,"3,463","5,978","6,845","4,564","20,850"
26-Apr,Tuesday,60.1,46.9,0.24,"1,997","3,520","4,559","2,929","13,005"
27-Apr,Wednesday,62.1,46.9,0,"3,343","5,606","6,577","4,388","19,914"
28-Apr,Thursday,57.9,48,0,"2,486","4,152","5,336","3,657","15,631"
29-Apr,Friday,57,46.9,0.05,"2,375","4,178","5,053","3,348","14,954"
30-Apr,Saturday,64,48,0,"3,199","4,952","5,675","3,606","17,432"
1-May,Sunday,50,45,0.16,"2,634","1,525","2,062","1,408","7,629"
2-May,Monday,59,46,0.04,"2,505","4,149","4,864","3,575","15,093"
3-May,Tuesday,54,51.1,0.61,"1,059","1,986","2,614","1,741","7,400"
4-May,Wednesday,51.1,48.9,0.01,"1,710","2,905","3,797","2,693","11,105"
5-May,Thursday,57,46.9,0,"2,582","4,196","4,971","3,619","15,368"
6-May,Friday,53.1,48,0.54,652,"1,453","2,122","1,612","5,839"
7-May,Saturday,57.9,48.9,0,"1,867","3,157","3,789","2,749","11,562"
8-May,Sunday,64.9,50,0.16,"1,916","2,927","3,948","2,463","11,254"
9-May,Monday,72,55,0,"3,650","6,591","7,386","4,951","22,578"
10-May,Tuesday,62.1,51.1,0,"3,384","6,283","7,335","4,796","21,798"
11-May,Wednesday,73.9,53.1,0,"3,883","7,216","8,231","5,327","24,657"
12-May,Thursday,79,57.9,0,"3,960","7,103","8,333","5,735","25,131"
13-May,Friday,64.9,60.1,0.25,"1,780","3,072","4,229","3,121","12,202"
14-May,Saturday,71.6,60.8,T,"2,556","4,042","5,479","3,951","16,028"
15-May,Sunday,57.2,50,T,"1,738","2,971","3,486","2,696","10,891"
16-May,Monday,66.2,46.4,0,"2,907","5,254","5,961","4,016","18,138"
17-May,Tuesday,64.4,55.4,T,"2,812","5,230","6,219","4,344","18,605"
18-May,Wednesday,68,53.6,T,"3,309","5,812","6,739","4,603","20,463"
19-May,Thursday,71.1,57,0,"3,474","6,214","7,485","4,763","21,936"
20-May,Friday,75,55,0,"3,976","6,994","7,776","5,221","23,967"
21-May,Saturday,66,55,0.04,"1,665","2,864","3,978","2,928","11,435"
22-May,Sunday,69.1,53.1,0.09,"2,117","3,729","4,633","2,956","13,435"
23-May,Monday,77,57.9,0.02,"3,928","6,843","7,769","5,135","23,675"
24-May,Tuesday,73,59,0.18,"1,482","3,019","4,260","2,392","11,153"
25-May,Wednesday,87.1,64,0,"4,244","7,869","8,959","5,906","26,978"
26-May,Thursday,89.1,71.1,0,"3,887","7,037","8,231","5,451","24,606"
27-May,Friday,86,75,0,"3,302","5,670","7,054","4,592","20,618"
28-May,Saturday,90,72,0,"2,664","3,998","5,327","3,895","15,884"
29-May,Sunday,86,73,T,"3,193","4,154","4,918","3,635","15,900"
30-May,Monday,79,68,1.65,"1,719","2,750","3,759","2,689","10,917"
31-May,Tuesday,84.9,72,0,"3,948","7,016","7,957","5,556","24,477"
1-Jun,Wednesday,82,71.1,0,"4,126","7,565","9,028","5,823","26,542"
2-Jun,Thursday,75.9,63,0,"4,161","7,229","8,764","5,833","25,987"
3-Jun,Friday,70,64,0.04,"1,864","3,708","4,961","3,189","13,722"
4-Jun,Saturday,82.9,66.9,0.4,"3,134","4,840","6,051","4,193","18,218"
5-Jun,Sunday,70,64.9,0.91,918,"1,593","2,473","1,805","6,789"
